Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y
2024-01-31-23:22:05,0.93,0.57,0.27,0.12,0.86,0.14,0.55,0.12,0.9,0.12,0.79,-0.840442024152211
2024-01-31-23:22:06,0.1,0.69,0.89,0.74,0.55,0.41,0.2,0.33,0.87,0.88,0.38,-0.00459381558163454
2024-01-31-23:22:07,0.66,0.7,0.84,0.56,0.17,0.06,0.6,0.49,0.37,0.05,0.59,2.19856819445069
2024-01-31-23:22:09,0.17,0.18,0.45,0.83,0.73,0.58,0.73,0.37,0.89,0.83,0.07,-0.06145340493112
2024-01-31-23:22:10,0.78,0.57,0.14,0.71,0.29,0,0.59,0.18,0.38,0.25,0.88,2.4236808116968
2024-01-31-23:22:11,0.74,0.33,0.57,0.81,0.93,0.58,0.7,0.99,0.17,0.39,0.69,3.01925555828849
2024-01-31-23:22:12,0.63,0.22,0.94,0.73,0.47,0.31,0.62,0.82,0.9,0.92,0.91,1.10594376928647
2024-01-31-23:22:13,0.57,0.15,0.21,0.57,0.74,0.91,0.47,0.51,0.31,0.21,0.37,1.8499639059614
2024-01-31-23:22:14,0.4,0.54,0.3,0.98,0.25,0.81,0.16,0.16,0.02,0.31,0.39,2.24963237163351
2024-01-31-23:22:15,0.96,0.04,0.38,0.8,0.18,0.21,0.7,0.62,0.12,0.79,0.77,1.00389867573998
2024-01-31-23:22:16,0.85,0.36,0.04,0.76,0.83,0.07,0.59,0.57,0.44,0.99,0.11,1.62898114592362
2024-01-31-23:22:17,0.27,0.5,0.36,0.6,0.18,0.05,0.63,0.49,0.44,0.11,0.05,0.754628425089737
2024-01-31-23:22:18,0.34,0.91,0.75,0.55,0.14,0.89,0.68,0.93,0.18,0.05,0.82,1.32223193366389
2024-01-31-23:22:19,0.22,0.82,0.17,0.3,0.93,0.74,0.26,0.93,0.86,0.53,0.43,-0.337436176541038
2024-01-31-23:22:20,0.74,0.14,0.13,0.79,0.77,0.62,0.75,0.88,0.19,0.1,0.32,2.94766835434464
2024-01-31-23:22:21,0.94,0.17,0.46,0.35,0.37,0.91,0.53,0.43,0.73,0.28,0.25,-0.397243266338032
2024-01-31-23:22:22,0.91,0.1,0.18,0.17,0.36,0.63,0.55,0.9,0.58,0.3,0.04,0.0627964957116537
2024-01-31-23:22:23,0.71,0.61,0.33,0.85,0.89,0.73,0.04,0.51,0.05,0.5,0.68,3.42735675611281
2024-01-31-23:22:24,0.03,0.85,0.06,0.95,0.39,0.49,0.2,0.67,0.26,0.63,0.77,1.39241506855932
2024-01-31-23:22:25,0.96,0.81,0.65,0.6,0.36,0.55,0.7,0.18,0.11,0.42,0.32,0.866766379981254
2024-01-31-23:22:26,0.96,0.79,0.21,0.7,0.84,0.72,0.27,0.34,0.4,0.83,0.72,0.452461293232451
2024-01-31-23:22:27,0.98,0.3,0.63,0.47,0.5,0.3,0.73,0.14,0.59,0.22,0.47,-0.3176960137834
2024-01-31-23:22:28,0.24,0.82,0.35,0.32,0.04,0.54,0.43,0.98,0.86,0.4,0.78,-0.322297720390693
2024-01-31-23:22:29,0.59,0.62,0.62,0.83,0.41,0.48,0.23,0.24,0.72,0.22,0.54,1.41661744290068
2024-01-31-23:22:30,0.35,0.21,0.57,0.65,0.47,0.71,0.76,0.69,0.18,0.01,0.03,1.3980602451915
2024-01-31-23:22:31,0.53,0.33,0.07,0.59,0.28,0.06,0.97,0.2,0.84,0.08,0.34,0.525779093371783
2024-01-31-23:22:32,0.98,0.91,0.76,0.98,0.15,0.52,0.71,0.89,0.59,0.06,0.1,0.0858818828911585
2024-01-31-23:22:33,0.16,0.24,0.09,0.39,0,0.78,0.09,0.53,0.81,0.14,0.38,-0.177953230402024
2024-01-31-23:22:34,0.89,0.26,0.67,0.47,0.23,0.87,0.31,0.32,0.22,0.81,0.75,1.32090320187896
2024-01-31-23:22:35,0.5,0.79,0.9,0.54,0.5,0.31,0.13,0.57,0.94,0.81,0.81,0.30335486469288
2024-01-31-23:22:36,0.03,0.2,0.33,0.82,0.81,0.87,0.15,0.96,0.25,0.04,0.22,1.30470089865327
2024-01-31-23:22:37,0.92,0.51,0.97,0.32,0.34,0.81,0.06,0.15,0.57,0.08,0.95,0.141593308988799
2024-01-31-23:22:38,0.99,0.62,0.97,0.83,0.76,0.54,0.77,0.09,0.87,0.32,0.82,-0.647725106146669
2024-01-31-23:22:39,0.21,0.66,0.63,0.6,0.82,0.11,0.85,0.86,0.85,0.3,0.9,-0.156066359345568
